Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
FALCON TRADER,PANAMENHA,200 10.7,Long,17/01/2025 05:48:00,0222-4,ORION OPERACOES PORTUARIAS LTDA,EMB,OUTROS,1,0280-9 2025,24322025,C5,CODESP-RUA,9863833,
FAZENDAO,BRASILEIRA,32 3.5,Long,22/01/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,OUTROS,1,4725-7 2024,438272024,C5,SAIPEN,9555981,
FEDERAL THUNDER BAY,ILHAS MARSHALL,200 10.9,Long,22/01/2025,,ORION OPERACOES PORTUARIAS LTDA,EMB,OUTROS,1,5303-9 2024,514552024,C5,CODESP-RUA,9975375,
SAVEIROS GAIVOTA,BRASILEIRA,62 5,Long,22/01/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,OUTROS,1,5394-4 2024,523722024,C5,SAIPEN,9258387,
SAVEIROS GAIVOTA,BRASILEIRA,62 5,Long,22/01/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,OUTROS,1000,0179-6 2025,11672025,C5,SAIPEN,9258387,
STAR NAVARRA,ILHAS MARSHALL,200 12.1,Long,22/01/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,PAPEL E CELULOSE,31645,5705-0 2024,557432024,C5,EPORT 1/TECON 1,9548823,
BBC PEARL,ANTIGUANA,153 6.8,Long,26/01/2025 07:00:00,,BPA AGENCIAMENTOS MARITIMOS LTDA.,EMB,CARGA GERAL,7,0242-0 2025,20602025,C5,SABOO-TECON,9504786,
