Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
XIN CHANG SHA,CHINESA,263 11.2,Long,27/01/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 9000,0237-6 2025,14012025,B,TECON,9312559,
MSC VANESSA,PANAMENHA,300 10.4,Long,27/01/2025 11:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 14400,0291-- 2025,24162025,B,B.T.P. 1,9251688,
MSC CHIARA X,LIBERIANA,347 11.3,Long,28/01/2025 03:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 27000,0262-- 2025,21282025,B,B.T.P. 1,9198587,
CAPE BYRON,ILHAS MARSHALL,172 8,Long,28/01/2025 12:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,0199-7 2025,15692025,B,EPORT 1/TECON 1,9950090,
CAPE ARTEMISIO,MALTESA,330 7,Long,29/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,21852 180,5924-3 2024,576712024,B,B.T.P. 1,9777175,
GSL ARCADIA,LIBERIANA,277 9,Long,29/01/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,5973-4 2024,589242024,B,B.T.P. 1,9214214,
MAERSK RUBICON,SINGAPURENSE,250 9,Long,29/01/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0153-7 2025,590012024,B,B.T.P. 1,9632480,
MAERSK LAVRAS,DINAMARQUESA,300 9,Long,29/01/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0152-- 2025,586002024,B,B.T.P. 1,9526928,
MONTE TAMARO,SINGAPURENSE,273 9,Long,29/01/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0145-4 2025,9512025,B,TECON,9357949,
MERCOSUL ITAJAÍ,BRASILEIRA,195 10,Cabo,29/01/2025 12:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0366-- 2025,544092024,B,EPORT 1/TECON 1,9697002,
LOG-IN PANTANAL (REB),BRASILEIRA,183 9.1,Cabo,29/01/2025 17:00:00,,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,0347-6 2025,30192025,B,TECON,9351799,
BREMERHAVEN EXPRESS,MALTESA,300 7,Long,30/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,17370 360,5943-8 2024,576672024,B,B.T.P. 1,9723253,
IRENES RESOLVE,LIBERIANA,257 12,Long,30/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4536 360,5936-1 2024,576222024,B,TECON,9227273,
SEBASTIÃO CABOTO,BRASILEIRA,228 9,Cabo,30/01/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 3600,0045-0 2025,576062024,B,B.T.P. / TECON,9602875,
MAERSK GANGES (REB),BRASILEIRA,255 9,Cabo,30/01/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0171-5 2025,3042025,B,TECON,9694581,
COSCO SHIPPING URUGUAY,HONG KONG,336 11.2,Long,30/01/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600,0231-8 2025,14022025,B,TECON,9945851,
CMA CGM BELEM,MALTESA,336 10,Long,30/01/2025 12:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0374-3 2025,35912025,B,TECON,9938286,
COSCO SHIPPING RHINE,HONG KONG,300 11.6,Long,31/01/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 9000,0201-1 2025,14032025,B,EPORT 1/TECON 1,9731951,
