Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
ALKYONI,ILHAS MARSHALL,190 7,Long,14/12/2024 14:00:00,5347-3,ORION OPERACOES PORTUARIAS LTDA,EMB,ACUCAR A GRANEL,48000,5644-- 2024,549022024,B,16/17,9624055,
HUAN HANG 19,CHINESA,225 9,Long,17/01/2025 09:06:00,0227-5,ROCHAMAR AGENCIA MARITIMA S/A,EMB,GRAN.SOLIDO NAO ESPECIF,70000,0216-9 2025,11432025,B,39,9646625,
SEA DIAMOND I,PANAMENHA,190 11,Long,20/01/2025 07:00:00,0268-2,ORION OPERACOES PORTUARIAS LTDA,EMB,ACUCAR A GRANEL,49000,0318-6 2025,25262025,B,ULTRAFERTIL,9364825,
SSI DISCOVERY,ILHAS MARSHALL,200 12,Long,22/01/2025,,WAYPOINT AGENCIA MARITIMA LTDA,EMB,ACUCAR A GRANEL,60500,0283-8 2025,19852025,B,16/17,9969144,
CMB MATSYS,PANAMENHA,20 12,Long,24/01/2025 05:00:00,,ORION OPERACOES PORTUARIAS LTDA,EMB,ACUCAR A GRANEL,43000,0363-1 2025,33072025,B,16/17,9916226,
GU IMABARI,PANAMENHA,225 12,Long,24/01/2025 07:00:00,,WILLIAMS SERVICOS MARITIMOS LTDA.,EMB,ACUCAR A GRANEL,70000,0329-8 2025,27182025,B,ULTRAF - 20/21,9544401,
INFINITY SKY,PANAMENHA,200 11,Long,24/01/2025 16:26:00,,WILHELMSEN PORT SERVICES BRASIL LTDA,EMB,ACUCAR A GRANEL,60000,0354-2 2025,31842025,B,20/21,9839064,
CSSC IMMINGHAM,HONG KONG,255 5,Long,25/01/2025 10:00:00,,ROCHAMAR AGENCIA MARITIMA S/A,EMB,GRAN.SOLIDO NAO ESPECIF,85000,0355-9 2025,30972025,B,39,9853929,
