Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
LARCH ARROW,BAHAMENSE,196 12,Long,22/01/2025,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,PAPEL E CELULOSE,28100,0255-4 2025,21712025,B,EPORT 1/TECON 1,9419230,
TENCA ARROW,BAHAMENSE,225 8,Long,22/01/2025 06:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,PAPEL E CELULOSE,31000,0320-- 2025,25622025,B,EPORT 1/TECON 1,9385489,
KALIMANTAN EXPRESS,SINGAPURENSE,215 10.5,Long,23/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,PAPEL E CELULOSE,47500,0233-- 2025,21262025,B,35/37,9650432,
COSCO SHIPPING TENG DA,CHINESA,202 14.2,Long,27/01/2025 16:29:00,,WILHELMSEN PORT SERVICES BRASIL LTDA,EMB,PAPEL E CELULOSE,21200,0351-3 2025,31852025,B,EPORT 1/TECON 1,9928932,
