Programação,DUV,Berço,Embarcação,IMO,LOA,DWT,Sentido,Agência,Operador,Mercadoria,ETA,Janela Operacional,Prancha (t/dia),Previsto,Cal. Cheg.,Cal. Saída,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
75365,408042024.0,141,SCARLET ROBIN,9958004,14650,"19.993,00",Imp,ROCHAMAR,CATTALINI,METANOL,31/01/2025 12:00,,,"11.500,000 Tons.",900,750,,,,
73601,,205,MSC ARMONIA,9210141,27490,"8.707,00",Imp/Exp,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,PASSAGEIROS,31/01/2025 06:00,,,"0,000 Tons.",680,680,,,,
75378,,204,HPC ATLANTIC,9667899,18999,"56.064,00",Exp,WILSON SONS,PASA,AÇÚCAR,30/01/2025 22:30,,,"53.000,000 Tons.",650,1270,,,,
75085,,216,IRENES RESOLVE,9227273,25738,"51.060,00",Imp/Exp,ROCHAMAR,TCP (SAT),CONTÊINERES (CONTENTORES) INCL,30/01/2025 19:00,,,1.050 Movs.,1200,1000,,,,
75091,558862024.0,215,NC BREDA,9612765,22400,"48.044,00",Imp/Exp,ROCHAMAR,TCP (NCO),CONTÊINERES (CONTENTORES) INCL,30/01/2025 19:00,,,1.050 Movs.,1200,1000,,,,
75370,268932024.0,211,DSI AQUARIUS,9749269,19800,"60.309,00",Imp,WORLD SHIPPING PARANA,HARBOR,CLORETOS DE POTASSIO,30/01/2025 17:00,,,"57.478,000 Tons.",1286,727,,,,
75354,36822025.0,143,BOW HARMONY,9379909,17000,"33.619,00",Exp,GRANEL,CATTALINI,"BIODIESEL E SUAS MISTURAS,C/ M",29/01/2025 23:00,,,"5.000,000 Tons.",650,800,,,,
75396,589682024.0,218,MAERSK LOTA,9526954,29990,"100.072,00",Imp/Exp,LACHMANN,TCP (NBN),CONTÊINERES (CONTENTORES) INCL,29/01/2025 15:00,,,800 Movs.,1000,900,,,,
75245,,208,ROSTRUM AMERICA,9910351,17995,"40.007,00",Imp,ROCHAMAR,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,MAP,29/01/2025 13:00,,,"12.550,000 Tons.",970,750,,,,
75245,,208,ROSTRUM AMERICA,9910351,17995,"40.007,00",Imp,ROCHAMAR,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,CLORETOS DE POTASSIO,29/01/2025 13:00,,,"12.550,000 Tons.",970,750,,,,
75245,,208,ROSTRUM AMERICA,9910351,17995,"40.007,00",Imp,ROCHAMAR,HARBOR,CLORETOS DE POTASSIO,29/01/2025 13:00,,,"3.700,000 Tons.",970,750,,,,
75400,35942025.0,216,XIN CHANG SHA,9312559,26323,"52.214,00",Imp/Exp,UNIMAR,TCP (LXS),CONTÊINERES (CONTENTORES) INCL,29/01/2025 05:00,,,500 Movs.,900,1050,,,,
75402,,141,CUMBIA 1,9436343,18320,"50.213,00",Exp,LACHMANN,TRANSPETRO PGUA,FUEL-OIL (OLEO COMBUSTIVEL),29/01/2025 05:00,,,"20.000,000 Tons.",800,1000,,,,
75336,,218,MSC PEGASUS VII,9267637,29995,"80.270,00",Imp/Exp,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,TCP (US1),CONTÊINERES (CONTENTORES) INCL,29/01/2025 03:00,,,700 Movs.,980,1000,,,,
75360,28592025.0,143,SG FRIENDSHIP,9288576,14403,"19.772,00",Exp,CARGONAVE,CATTALINI,OLEO DE SOJA,28/01/2025 20:00,,,"18.500,000 Tons.",800,956,,,,
75405,,213,ILIA,9577460,22900,"80.256,00",Exp,WILLIAMS,TIBAGI,SOJA,28/01/2025 10:00,,,"66.000,000 Tons.",600,1000,,,,
75177,57753202.0,219,CHESAPEAKE HIGHWAY,9565546,19990,"21.643,00",Imp/Exp,UNIMAR,ORION,AUTOMÓVEIS DE PASSAGEIROS E OU,28/01/2025 10:00,,,1.000 Movs.,890,850,,,,
75229,593172024.0,215,BROOKLYN BRIDGE,9458999,26665,"52.055,00",Imp/Exp,WILSON SONS,TCP (LXN),CONTÊINERES (CONTENTORES) INCL,28/01/2025 07:00,,,500 Movs.,1100,1150,,,,
75383,33402025.0,141,PACIFIC ONYX,9539597,18250,"49.996,00",Imp,LACHMANN,TRANSPETRO PGUA,GASOLINAS,28/01/2025 05:00,,,"25.000,000 Tons.",800,700,,,,
75387,,204,ASI-M,9244843,18999,"52.404,00",Exp,CARGONAVE,CEU AZUL,SOJA,27/01/2025 19:00,,,"50.000,000 Tons.",710,1310,,,,
75391,35132025.0,216,HYUNDAI GOODWILL,9347607,29400,"63.071,00",Imp/Exp,UNIMAR,TCP (FIL),CONTÊINERES (CONTENTORES) INCL,27/01/2025 19:00,,,500 Movs.,1000,1130,,,,
75377,,218,SAN LORENZO MAERSK,9622227,33320,"124.458,00",Imp/Exp,LACHMANN,TCP (SCS),CONTÊINERES (CONTENTORES) INCL,27/01/2025 11:00,,,800 Movs.,1000,900,,,,
75376,,218,MAERSK LAVRAS,9526928,29990,"106.043,00",Imp/Exp,LACHMANN,TCP (AS2),CONTÊINERES (CONTENTORES) INCL,27/01/2025 01:00,,,800 Movs.,1000,900,,,,
